cc_id,description
1,"Active Cruise Control Disabled, Poor Conditions"
2,"Active Cruise Control Disabled, Poor Signal"
3,Active Cruise Control Failure
4,Trailer Parking Light Left
5,Trailer Parking Light Right
6,Trailer Indicator Left
7,Trailer Indicator Right
8,Trailer Brake Lights
9,Trailer Fog Light
10,ARS Roll Malfunction
11,Steering Malfunction
12,Dynamic Drive Failed
13,Radio Key in Lock
14,Door Open Front Right
15,Door Open Front Left
16,Door Open Rear Left
17,Door Open Rear Right
18,Bonnet open
19,Boot open
21,"Ignition Problem, Depress Brake to Start"
22,"Starter Problem, Engine cannot Restart"
24,DBC Dynamic Brake Control Brake Assist Failed
25,"Preheating, Please Wait"
26,Cruise Control Defective
27,Engine Oil Level Low
28,Engine Oil Level Below Minimum
29,"Engine Problem, Power Reduced"
30,"Engine Problem, Stop Engine"
31,"Engine Problem, Increased Emissions"
32,Fuel Cap Open
33,"Engine Problem, Reduce Engine Load"
35,DSC Failed
36,DSC/DTC Deactivated
38,Wrong Remote Key
39,"Engine Overheat, Stop Engine"
40,Press Brake to Start
41,Service Due
42,DSC Control System/Ride Height adjustment
43,Dynamic Damper Control Failed
45,Level Control System Failure
46,Fasten Seat Belt
48,Parking Brake
49,Particulate Filter Malfunction
50,Runflat Indicator Failed
51,Parking Brake Overheated
52,Parking Brake Failed
53,Automatic Hold Malfunction
54,Parking Brake Malfunction
55,Parking Brake Active
56,Parking Brake
57,Parking Brake
58,Parking Brake
59,"Active Cruise Control Disabled, Parking Brake"
60,Speedometer Failure
62,Vehicle Speed Limit Exceeded
63,Tyre Puncture
65,"Change Key, Key Battery Low"
66,Remote Control/Key Fault
67,Remote Control/Key Battery Discharged
68,Remote Key Stationary Function Battery Low
69,"Active Cruise Control Disabled, Speed too Low"
70,Servotronic Failed
71,Brake Pads Worn
73,EPS Inoperative
74,Brake Fluid Low
75,Trailer Electrics Failed
76,Crash Safety Module
78,Vehicle Speed Limit Exceeded
79,Low External Temperature
85,"Active Cruise Control Disabled, Hill Descent"
87,Right Rear Light Failure
88,Dipped Beam Left Failure
89,Dipped Beam Right Failure
90,Trailer Reverse Light
91,Fasten Seat Belt
92,Front Passenger Seat Belt Pretensioner Fault
93,Driver’s Seat Belt Pretensioner Fault
94,Rear Left Seat Belt Pretensioner Fault
95,Rear Right Seat Belt Pretensioner Fault
97,Multiple Restraint System Fault
103,Gearbox Overheating- Drive with Care
104,Gearbox Overheating- Reduced Output
105,Gearbox Overheated – Stop Vehicle
106,Rear Left Side Airbag Fault
107,Rear Right Side Airbag Fault
108,Driver’s Airbag Fault
109,Passenger Airbag Fault
111,Number Plate Light Left Failure
113,Sidelights Switched On
114,Rear Fog Light Failure
115,Reverse Light Right Failure
116,Indicator Rear Left Failure
117,Reverse Light Left Failure
118,Rear Light Right Failure
119,Indicator Front Right Failure
120,Dipped Beam Left Failure
121,Dipped Beam Right Failure
122,Indicator Front Right Failure
123,Rear Light Right Failure
124,Indicator Right Failure
125,Indicator Rear Right Failure
126,Fog Light Right Failure
127,Side Indicator Left Failure
128,Left High Beam Failure
129,Rear Fog Light Failure
130,Right High Beam Failure
131,Parking Light Left Front Failure
132,Front Right Side Light Failure
133,Right Rear Light Failure
134,Right Brake Light Failure
135,Centre Brake Light Failure
136,Left Brake Light Failure
137,Number Plate Light Right Failure
138,Fog Light Left Failure
139,Front Left Tyre Pressure
140,Rear Right Tyre Pressure
141,Rear Left Tyre Pressure
142,Check Tyre Pressures
143,Front Right Tyre Pressure
144,Tyre Pressure Monitoring Fault
145,Tyre Pressure Monitoring Deactivated
147,Tyre Puncture Detected
148,Brake Light Control Failed
149,Tyre Pressure Monitoring Failure
158,"Active Cruise Control Disabled, Sensor Error"
164,Windscreen Washer Fluid Low
165,Low External Temperature
166,Engine Coolant Level Low
167,Reset Clock
168,Transmission Malfunction
169,Transmission Position N
170,Transmission Malfunction Reset
